Unnamed: 0,Model,Hour,nRVs,Total_Sensing_Coverage,New_Locations_Sensing_Coverage,Order_Overdue,Average_Driving_Incentive,Average_Driving_Incentive_Index,executionTime
16,fdd-sdp,16,,7056,45,17,1.3946924004825088,1.7107352762259596,246.30732464790344
17,fdd-sdp,17,,7105,94,17,7.045987318840583,4.124204728291859,664.9918036460876
18,fdd-sdp,18,,7096,85,23,4.573538038496792,1.6204293612508842,633.8388710021973
19,fdd-sdp,19,,7095,84,16,5.741282973621103,3.10677862939089,282.0770580768585
20,fdd-sdp,20,,7054,43,10,0.7926994906621392,1.640385714375032,111.43624424934389
21,fdd-sdp,21,,7011,0,4,0.8127118644067797,2.51880356250892,35.517735719680786
22,fdd-sdp,22,,7011,0,1,0.4542372881355932,2.347814814814815,20.12735342979431
23,fdd-sdp,23,,7011,0,1,0.0638461538461538,8.3,7.006614208221436
0,bsd-tsm,0,,8052,1041,130,2.6644067796610185,0.1448875423939162,16.914944410324097
1,bsd-tsm,1,,7675,664,66,3.928769230769233,0.1441980705248103,13.44395875930786
2,bsd-tsm,2,,7488,477,43,6.483541666666668,0.2582284818896274,12.822909832000732
3,bsd-tsm,3,,7249,238,25,3.7599999999999993,0.1269793901592951,11.793092727661133
4,bsd-tsm,4,,7250,239,20,5.330869565217391,0.1631061774338785,12.64986515045166
5,bsd-tsm,5,,7212,201,15,5.170588235294117,0.1677180884300274,12.27518081665039
6,bsd-tsm,6,,7329,318,35,6.183818181818185,0.2255095016916494,13.60107922554016
7,bsd-tsm,7,,7854,843,112,13.232796208530818,0.4057507541271276,20.710716485977173
8,bsd-tsm,8,,8289,1278,236,10.517369614512566,0.3473078304955873,61.95297646522522
9,bsd-tsm,9,,8516,1505,279,7.860691318328045,0.3378656383456278,98.13170671463013
10,bsd-tsm,10,,9115,2104,762,12.628118939883322,0.3975159661370884,1078.3284351825714
11,bsd-tsm,11,,9262,2251,951,19.73445711678847,0.5406188245641663,7031.976895570755
12,bsd-tsm,12,,9174,2163,642,14.1415651927433,0.4341111062747215,1820.4402720928192
13,bsd-tsm,13,,8916,1905,548,12.204810218977745,0.3826074191728181,535.6047480106354
14,bsd-tsm,14,,8600,1589,368,12.186164874551734,0.3655640281516269,196.95503759384155
15,bsd-tsm,15,,8575,1564,307,7.387493333333416,0.3001238288037851,129.533926486969
16,bsd-tsm,16,,8615,1604,351,7.797008443908407,0.321205900615164,158.3016974925995
17,bsd-tsm,17,,8825,1814,469,11.50558876811563,0.389337684038006,393.2626473903656
18,bsd-tsm,18,,8829,1818,461,8.921136571952255,0.3003172793141452,383.745035648346
0,bsd-tsm,19,,8899,1888,414,10.574364508393272,0.4197552509263903,271.2610397338867
1,bsd-tsm,20,,8639,1628,276,7.293752122241168,0.285203299997645,108.05080604553224
2,bsd-tsm,21,,8251,1240,164,8.54039548022603,0.3480619717602953,39.81322479248047
3,bsd-tsm,22,,7994,983,124,9.540254237288131,0.3560655436508639,26.45766282081604
4,bsd-tsm,23,,7647,636,88,6.546923076923066,0.2509735333639513,16.024918794631958
0,fdd-sdp,11,,7836,825,130,19.694128649635257,1.164299142977878,11457.846017837524
1,fdd-sdp,12,,7201,190,48,14.697347505668874,1.7882135396944885,2913.122236728668
2,fdd-sdp,13,,7108,97,19,7.761582319545815,1.5948762319700671,624.6287844181061
3,fdd-sdp,14,,7082,71,5,9.386511350059742,1.7968670943365863,236.2800362110138
4,fdd-sdp,15,,7065,54,6,3.810413333333336,1.5053362453029535,136.5175743103027
5,fdd-sdp,16,,7089,78,17,3.688299155609168,1.5426322424820522,173.23932337760925
6,fdd-sdp,17,,7110,99,18,9.212382246376809,2.0746214777897167,508.28861904144287
7,fdd-sdp,18,,7115,104,23,6.816636113657201,1.55756910803621,492.6076710224152
8,fdd-sdp,19,,7134,123,16,5.104460431654677,1.3623926838833316,206.1013979911804
9,fdd-sdp,20,,7090,79,10,3.3682512733446504,1.3980326948081176,75.57911777496338
10,fdd-sdp,21,,7026,15,4,1.495197740112994,2.2284338624338624,20.987072467803955
11,fdd-sdp,22,,7011,0,1,0.822457627118644,2.034608465608465,11.169672012329102
12,fdd-sdp,23,,7011,0,1,0.2246153846153846,3.3025,3.5439770221710205
